Section,Page,Demo name,Example ID,Docs link,Environment,Docs OK,Docs note,Sandbox OK,Sandbox note
Cell features,Text alignment,Basic example,example1,https://handsontable.com/docs/vue-data-grid/text-alignment/#example1,prod,PASS,,PASS,
Cell features,Disabled cells,To disable a cell,exampleReadOnlyGrid,https://handsontable.com/docs/vue-data-grid/disabled-cells/#exampleReadOnlyGrid,prod,PASS,,PASS,
Cell features,Disabled cells,To disable a column,example1,https://handsontable.com/docs/vue-data-grid/disabled-cells/#example1,prod,PASS,,PASS,
Cell features,Disabled cells,To disable a row,example2,https://handsontable.com/docs/vue-data-grid/disabled-cells/#example2,prod,PASS,,PASS,
Cell features,Disabled cells,To disable a column (non-editable),example3,https://handsontable.com/docs/vue-data-grid/disabled-cells/#example3,prod,PASS,,PASS,
Cell features,Disabled cells,To disable a cell,example4,https://handsontable.com/docs/vue-data-grid/disabled-cells/#example4,prod,PASS,,PASS,
Cell features,Comments,Basic example,example1,https://handsontable.com/docs/vue-data-grid/comments/#example1,prod,PASS,,PASS,
Cell features,Comments,Make a comment read-only,example2,https://handsontable.com/docs/vue-data-grid/comments/#example2,prod,PASS,,PASS,
Cell features,Comments,Set a comment box's size,example3,https://handsontable.com/docs/vue-data-grid/comments/#example3,prod,PASS,,PASS,
Cell features,Comments,Set a delay for displaying comments,example4,https://handsontable.com/docs/vue-data-grid/comments/#example4,prod,PASS,,PASS,
Cell features,Autofill values,How double-click autofill determines the range,example1,https://handsontable.com/docs/vue-data-grid/autofill-values/#example1,prod,PASS,,PASS,
Cell features,Autofill values,Autofill in a vertical direction only and creating new rows,example2,https://handsontable.com/docs/vue-data-grid/autofill-values/#example2,prod,PASS,,PASS,
Cell features,Formatting cells,Apply custom CSS class styles,example1,https://handsontable.com/docs/vue-data-grid/formatting-cells/#example1,prod,PASS,,PASS,
Cell features,Formatting cells,Apply inline styles,example2,https://handsontable.com/docs/vue-data-grid/formatting-cells/#example2,prod,PASS,,PASS,
Cell features,Formatting cells,Custom cell borders,example3,https://handsontable.com/docs/vue-data-grid/formatting-cells/#example3,prod,PASS,,PASS,
Cell functions,Cell functions,"Mixing renderer, editor, and validator",example1,https://handsontable.com/docs/vue-data-grid/cell-function/#example1,prod,PASS,,PASS,
Cell functions,Cell renderer,Declare a custom renderer as a component,example1,https://handsontable.com/docs/vue-data-grid/cell-renderer/#example1,prod,PASS,,PASS,
Cell functions,Cell renderer,Declare a custom renderer as a component,example2,https://handsontable.com/docs/vue-data-grid/cell-renderer/#example2,prod,PASS,,PASS,
Cell functions,Cell renderer,Render custom HTML in cells,example4,https://handsontable.com/docs/vue-data-grid/cell-renderer/#example4,prod,PASS,,PASS,
Cell functions,Cell renderer,Render custom HTML in header,example5,https://handsontable.com/docs/vue-data-grid/cell-renderer/#example5,prod,PASS,,PASS,
Cell functions,Cell editor,Extending an existing editor,example1,https://handsontable.com/docs/vue-data-grid/cell-editor/#example1,prod,PASS,,PASS,
Cell functions,Cell editor,Building an editor from scratch,example2,https://handsontable.com/docs/vue-data-grid/cell-editor/#example2,prod,PASS,,FAIL,"vite build fails: Missing ""./helpers/dom/event"" specifier in ""handsontable"" package — the import is not exposed by the published package exports map"
Cell functions,Cell validator,Full featured example,example1,https://handsontable.com/docs/vue-data-grid/cell-validator/#example1,prod,PASS,,PASS,
